Date,Volume,Volume
1990-06-01,2372000,22290000
1990-06-04,3569600,22270000
1990-06-05,3689600,24440000
1990-06-06,2154400,21050000
1990-06-07,2450400,20260000
1990-06-08,2427200,17640000
1990-06-11,2087200,15100000
1990-06-12,3358400,22290000
1990-06-13,3305600,22680000
1990-06-14,2084000,15180000
1990-06-15,5246400,37820000
1990-06-18,3516800,16230000
1990-06-19,2928800,16440000
1990-06-20,1504800,15350000
1990-06-21,2074400,16540000
1990-06-22,2393600,32380000
1990-06-25,1522400,17430000
1990-06-26,1746400,17270000
1990-06-27,1246400,26410000
1990-06-28,908800,15790000
1990-06-29,1964800,16150000
1990-07-02,2545600,12300000
1990-07-03,2114400,13910000
1990-07-05,1764000,16320000
1990-07-06,1664000,15220000
1990-07-09,1850400,13880000
1990-07-10,1834400,15520000
1990-07-11,1173600,18210000
1990-07-12,1821600,26480000
1990-07-13,2725600,29070000
1990-07-16,4073600,19860000
1990-07-17,5602400,21210000
1990-07-18,2612000,17950000
1990-07-19,4100800,21190000
1990-07-20,2511200,28090000
1990-07-23,2077600,32550000
1990-07-24,1727200,23010000
1990-07-25,2709600,19200000
1990-07-26,1022400,18360000
1990-07-27,1800800,19190000
1990-07-30,1939200,18730000
1990-07-31,1754400,22130000
1990-08-01,3095200,23770000
1990-08-02,4620800,45370000
1990-08-03,4728000,45360000
1990-08-06,2478400,35240000
1990-08-07,4048800,42830000
1990-08-08,1739200,28100000
1990-08-09,2262400,19220000
1990-08-10,2722400,19510000
1990-08-13,3329600,17110000
1990-08-14,2238400,18290000
1990-08-15,1574400,16710000
1990-08-16,2722400,20320000
1990-08-17,7150400,39370000
1990-08-20,4790400,16960000
1990-08-21,2371200,29340000
1990-08-22,3300800,25400000
1990-08-23,2672000,35430000
1990-08-24,3737600,28520000
1990-08-27,1941600,22910000
1990-08-28,1642400,16980000
1990-08-29,1299200,17100000
1990-08-30,1383200,15480000
1990-08-31,1040800,12060000
1990-09-04,1424800,14230000
1990-09-05,1776000,16680000
1990-09-06,1263200,16010000
1990-09-07,1247200,16180000
1990-09-10,1221600,15830000
1990-09-11,1074400,12720000
1990-09-12,1374400,14540000
1990-09-13,1751200,13940000
1990-09-14,2312800,17760000
1990-09-17,2260000,14340000
1990-09-18,1451200,20780000
1990-09-19,1602400,22900000
1990-09-20,1636000,21110000
1990-09-21,4112000,32300000
1990-09-24,1828000,21170000
1990-09-25,1776000,18870000
1990-09-26,1529600,24780000
1990-09-27,3420000,23130000
1990-09-28,3824000,25630000
1990-10-01,2617600,27990000
1990-10-02,3390400,25720000
1990-10-03,1838400,15550000
1990-10-04,2439200,19580000
1990-10-05,2200800,20280000
1990-10-08,1936800,10730000
1990-10-09,2744800,18750000
1990-10-10,2424800,23900000
1990-10-11,1716000,25450000
1990-10-12,2080800,22650000
1990-10-15,2516800,26120000
1990-10-16,2088800,17260000
1990-10-17,4489600,18250000
1990-10-18,2445600,25760000
1990-10-19,3251200,37810000
1990-10-22,1555200,21310000
1990-10-23,1058400,17710000
1990-10-24,1257600,17790000
1990-10-25,1162400,18160000
1990-10-26,1843200,16470000
1990-10-29,1939200,17820000
1990-10-30,1420800,20100000
1990-10-31,1405600,17840000
1990-11-01,2595200,17450000
1990-11-02,3658400,21360000
1990-11-05,1672000,16950000
1990-11-06,1181600,14490000
1990-11-07,2664000,17510000
1990-11-08,1709600,18610000
1990-11-09,3266400,18740000
1990-11-12,1273600,21480000
1990-11-13,1345600,18980000
1990-11-14,5966400,18660000
1990-11-15,1804800,15850000
1990-11-16,2293600,24850000
1990-11-19,1490400,17040000
1990-11-20,2447200,20700000
