Date,TRV,DOW
1990-07-05,595200,16320000
1990-07-06,988800,15220000
1990-07-09,561600,13880000
1990-07-10,951600,15520000
1990-07-11,1013600,18210000
1990-07-12,391200,26480000
1990-07-13,968800,29070000
1990-07-16,285200,19860000
1990-07-17,400400,21210000
1990-07-18,578400,17950000
1990-07-19,818400,21190000
1990-07-20,656400,28090000
1990-07-23,855200,32550000
1990-07-24,420800,23010000
1990-07-25,287200,19200000
1990-07-26,946000,18360000
1990-07-27,690400,19190000
1990-07-30,778400,18730000
1990-07-31,562800,22130000
1990-08-01,609600,23770000
1990-08-02,482800,45370000
1990-08-03,430800,45360000
1990-08-06,700400,35240000
1990-08-07,453600,42830000
1990-08-08,1088400,28100000
1990-08-09,390000,19220000
1990-08-10,930400,19510000
1990-08-13,204800,17110000
1990-08-14,430400,18290000
1990-08-15,603600,16710000
1990-08-16,1138400,20320000
1990-08-17,926000,39370000
1990-08-20,476000,16960000
1990-08-21,663600,29340000
1990-08-22,984800,25400000
1990-08-23,586000,35430000
1990-08-24,1100400,28520000
1990-08-27,358000,22910000
1990-08-28,319200,16980000
1990-08-29,418800,17100000
1990-08-30,362400,15480000
1990-08-31,259600,12060000
1990-09-04,282400,14230000
1990-09-05,623600,16680000
1990-09-06,667600,16010000
1990-09-07,372400,16180000
1990-09-10,359200,15830000
1990-09-11,372400,12720000
1990-09-12,606800,14540000
1990-09-13,453600,13940000
1990-09-14,526000,17760000
1990-09-17,1022400,14340000
1990-09-18,578800,20780000
1990-09-19,680400,22900000
1990-09-20,506400,21110000
1990-09-21,896800,32300000
1990-09-24,642800,21170000
1990-09-25,400400,18870000
1990-09-26,668400,24780000
1990-09-27,1687200,23130000
1990-09-28,876400,25630000
1990-10-01,1024000,27990000
1990-10-02,738000,25720000
1990-10-03,1598400,15550000
1990-10-04,1300800,19580000
1990-10-05,2107200,20280000
1990-10-08,748800,10730000
1990-10-09,693600,18750000
1990-10-10,868800,23900000
1990-10-11,1016400,25450000
1990-10-12,680800,22650000
1990-10-15,1303200,26120000
1990-10-16,1176400,17260000
1990-10-17,975600,18250000
1990-10-18,789600,25760000
1990-10-19,722000,37810000
1990-10-22,841200,21310000
1990-10-23,1026400,17710000
1990-10-24,1229200,17790000
1990-10-25,1487600,18160000
1990-10-26,1034400,16470000
1990-10-29,639600,17820000
1990-10-30,272800,20100000
1990-10-31,241200,17840000
1990-11-01,849600,17450000
1990-11-02,672800,21360000
1990-11-05,1574000,16950000
1990-11-06,1040000,14490000
1990-11-07,613200,17510000
1990-11-08,713600,18610000
1990-11-09,538800,18740000
1990-11-12,986000,21480000
1990-11-13,1153600,18980000
1990-11-14,2279600,18660000
1990-11-15,1016800,15850000
1990-11-16,1040800,24850000
1990-11-19,760000,17040000
1990-11-20,958000,20700000
1990-11-21,734400,18750000
1990-11-23,205200,6790000
1990-11-26,681200,16310000
1990-11-27,790800,18560000
1990-11-28,541600,14650000
1990-11-29,713200,17910000
1990-11-30,1777600,27640000
1990-12-03,1442400,25280000
1990-12-04,2091600,21330000
1990-12-05,1947600,23020000
1990-12-06,810400,35200000
1990-12-07,1027200,19550000
1990-12-10,771600,14430000
1990-12-11,531200,14720000
1990-12-12,897200,20790000
1990-12-13,728000,17130000
1990-12-14,1080400,16750000
1990-12-17,531200,11860000
1990-12-18,962400,20600000
1990-12-19,1169600,19300000
1990-12-20,1173200,18550000
1990-12-21,1382000,37300000
1990-12-24,355200,5170000
1990-12-26,380800,8310000
1990-12-27,396000,9970000
1990-12-28,316800,10820000
1990-12-31,164800,8760000
1991-01-02,789200,14100000
1991-01-03,1191200,17280000
1991-01-04,628800,20790000
1991-01-07,394800,16980000
1991-01-08,600400,19490000
1991-01-09,728400,25230000
1991-01-10,1345600,14630000
1991-01-11,798400,13250000
1991-01-14,824400,16290000
1991-01-15,219600,11710000
1991-01-16,394800,14550000
1991-01-17,744800,42660000
1991-01-18,1138800,45630000
1991-01-21,1208400,15670000
1991-01-22,277600,16850000
1991-01-23,681600,18850000
1991-01-24,540400,23640000
1991-01-25,514800,23270000
1991-01-28,724400,17060000
1991-01-29,266400,21690000
1991-01-30,990400,28940000
1991-01-31,729600,25270000
1991-02-01,680800,31430000
1991-02-04,571600,27240000
1991-02-05,774000,31960000
1991-02-06,761600,32930000
1991-02-07,1136800,35250000
1991-02-08,503600,22410000
1991-02-11,3491600,32080000
1991-02-12,1696000,36030000
1991-02-13,1337200,27980000
1991-02-14,1448400,29190000
1991-02-15,641600,40530000
1991-02-19,542000,27020000
1991-02-20,824400,19570000
1991-02-21,585600,20890000
1991-02-22,435600,25360000
1991-02-25,1183600,23810000
1991-02-26,1232000,19810000
1991-02-27,419600,28850000
1991-02-28,749200,26300000
1991-03-01,726000,27250000
1991-03-04,856800,21450000
1991-03-05,921200,29210000
1991-03-06,878000,31280000
1991-03-07,1332400,21290000
1991-03-08,1116000,24330000
1991-03-11,656800,16530000
1991-03-12,457600,18300000
1991-03-13,621200,19020000
1991-03-14,522400,25000000
1991-03-15,895600,38380000
1991-03-18,268000,17040000
1991-03-19,513600,25290000
1991-03-20,401200,25720000
1991-03-21,820400,23720000
1991-03-22,504400,17430000
1991-03-25,404000,16790000
1991-03-26,748000,25630000
1991-03-27,1208000,25290000
