Date,WMT,DOW
1989-09-06,5.140625,2719.790039
1989-09-07,5.0625,2706.879883
1989-09-08,5.078125,2709.540039
1989-09-11,5.078125,2704.409912
1989-09-12,5.015625,2707.260010
1989-09-13,4.96875,2679.520020
1989-09-14,4.953125,2664.889893
1989-09-15,5.015625,2674.580078
1989-09-18,4.9375,2687.500000
1989-09-19,4.953125,2687.310059
1989-09-20,4.9375,2683.889893
1989-09-21,4.96875,2680.280029
1989-09-22,4.984375,2681.610107
1989-09-25,4.921875,2659.189941
1989-09-26,4.953125,2663.939941
1989-09-27,5.03125,2673.060059
1989-09-28,5.125,2694.909912
1989-09-29,5.125,2692.820068
1989-10-02,5.125,2713.719971
1989-10-03,5.234375,2754.560059
1989-10-04,5.1875,2771.090088
1989-10-05,5.28125,2773.560059
1989-10-06,5.4375,2785.520020
1989-10-09,5.453125,2791.409912
1989-10-10,5.46875,2785.330078
1989-10-11,5.421875,2773.360107
1989-10-12,5.4375,2759.840088
1989-10-13,5,2569.260010
1989-10-16,5.359375,2657.379883
1989-10-17,5.265625,2638.729980
1989-10-18,5.203125,2643.649902
1989-10-19,5.375,2683.199951
1989-10-20,5.4375,2689.139893
1989-10-23,5.40625,2662.909912
1989-10-24,5.375,2659.219971
1989-10-25,5.3125,2653.280029
1989-10-26,5.25,2613.729980
1989-10-27,5.15625,2596.719971
1989-10-30,5.078125,2603.479980
1989-10-31,5.1875,2645.080078
1989-11-01,5.109375,2645.899902
1989-11-02,5.125,2631.560059
1989-11-03,5.078125,2629.510010
1989-11-06,5.0625,2582.169922
1989-11-07,5.15625,2597.129883
1989-11-08,5.28125,2623.360107
1989-11-09,5.21875,2603.689941
1989-11-10,5.28125,2625.610107
1989-11-13,5.3125,2626.429932
1989-11-14,5.25,2610.250000
1989-11-15,5.25,2632.580078
1989-11-16,5.296875,2635.659912
1989-11-17,5.359375,2652.659912
1989-11-20,5.421875,2632.040039
1989-11-21,5.40625,2639.290039
1989-11-22,5.390625,2656.780029
1989-11-24,5.40625,2675.550049
1989-11-27,5.453125,2694.969971
1989-11-28,5.390625,2702.010010
1989-11-29,5.375,2688.780029
1989-11-30,5.453125,2706.270020
1989-12-01,5.578125,2747.649902
1989-12-04,5.578125,2753.629883
1989-12-05,5.53125,2741.679932
1989-12-06,5.5,2736.770020
1989-12-07,5.5,2720.780029
1989-12-08,5.53125,2731.439941
1989-12-11,5.515625,2728.239990
1989-12-12,5.53125,2752.129883
1989-12-13,5.53125,2761.090088
1989-12-14,5.5,2753.629883
1989-12-15,5.5625,2739.550049
1989-12-18,5.453125,2697.530029
1989-12-19,5.375,2695.610107
1989-12-20,5.390625,2687.929932
1989-12-21,5.359375,2691.129883
1989-12-22,5.515625,2711.389893
1989-12-26,5.421875,2709.260010
1989-12-27,5.453125,2724.399902
1989-12-28,5.5625,2732.300049
1989-12-29,5.609375,2753.199951
1990-01-02,5.890625,2810.149902
1990-01-03,5.890625,2809.729980
1990-01-04,5.859375,2796.080078
1990-01-05,5.796875,2773.250000
