Date,UNH,DOW
1989-03-22,0.21875,2263.209961
1989-03-23,0.210938,2243.040039
1989-03-27,0.216797,2257.860107
1989-03-28,0.214844,2275.540039
1989-03-29,0.21875,2281.520020
1989-03-30,0.21875,2281.340088
1989-03-31,0.222656,2293.620117
1989-04-03,0.21875,2304.800049
1989-04-04,0.21875,2298.199951
1989-04-05,0.21875,2304.800049
1989-04-06,0.214844,2291.969971
1989-04-07,0.216797,2304.800049
1989-04-10,0.21875,2301.870117
1989-04-11,0.21875,2311.580078
1989-04-12,0.222656,2319.649902
1989-04-13,0.21875,2296.000000
1989-04-14,0.222656,2337.060059
1989-04-17,0.222656,2337.790039
1989-04-18,0.21875,2379.399902
1989-04-19,0.220703,2386.909912
1989-04-20,0.21875,2377.379883
1989-04-21,0.222656,2409.459961
1989-04-24,0.21875,2402.679932
1989-04-25,0.21875,2386.850098
1989-04-26,0.224609,2389.100098
1989-04-27,0.230469,2418.989990
1989-04-28,0.246094,2418.800049
1989-05-01,0.261719,2414.959961
1989-05-02,0.242188,2402.860107
1989-05-03,0.246094,2393.699951
1989-05-04,0.246094,2384.899902
1989-05-05,0.265625,2381.959961
1989-05-08,0.269531,2376.469971
1989-05-09,0.28125,2371.330078
1989-05-10,0.289063,2374.449951
1989-05-11,0.273438,2382.879883
1989-05-12,0.277344,2439.699951
1989-05-15,0.285156,2463.889893
1989-05-16,0.28125,2453.449951
1989-05-17,0.273438,2462.429932
1989-05-18,0.277344,2470.120117
1989-05-19,0.273438,2501.100098
1989-05-22,0.28125,2502.020020
1989-05-23,0.28125,2478.010010
1989-05-24,0.28125,2483.870117
1989-05-25,0.277344,2482.590088
1989-05-26,0.28125,2493.770020
1989-05-30,0.28125,2475.550049
1989-05-31,0.28125,2480.149902
1989-06-01,0.269531,2490.629883
1989-06-02,0.273438,2517.830078
1989-06-05,0.277344,2480.699951
1989-06-06,0.269531,2496.320068
1989-06-07,0.269531,2512.320068
1989-06-08,0.277344,2516.909912
1989-06-09,0.28125,2513.419922
1989-06-12,0.28125,2518.840088
1989-06-13,0.277344,2503.540039
1989-06-14,0.285156,2503.360107
1989-06-15,0.273438,2475.000000
1989-06-16,0.277344,2486.379883
1989-06-19,0.289063,2479.889893
1989-06-20,0.285156,2472.879883
1989-06-21,0.285156,2464.909912
1989-06-22,0.285156,2481.979980
1989-06-23,0.277344,2531.870117
1989-06-26,0.273438,2511.379883
1989-06-27,0.277344,2526.370117
1989-06-28,0.273438,2504.739990
1989-06-29,0.273438,2458.270020
1989-06-30,0.273438,2440.060059
1989-07-03,0.277344,2452.770020
1989-07-05,0.285156,2456.560059
1989-07-06,0.308594,2462.439941
1989-07-07,0.328125,2487.860107
1989-07-10,0.324219,2502.659912
1989-07-11,0.320313,2514.610107
1989-07-12,0.316406,2532.629883
1989-07-13,0.324219,2538.320068
1989-07-14,0.34375,2554.820068
1989-07-17,0.328125,2553.489990
1989-07-18,0.324219,2544.760010
1989-07-19,0.339844,2584.409912
1989-07-20,0.34375,2575.489990
1989-07-21,0.339844,2607.360107
1989-07-24,0.328125,2584.979980
1989-07-25,0.328125,2583.080078
1989-07-26,0.332031,2613.050049
1989-07-27,0.324219,2635.429932
1989-07-28,0.328125,2635.239990
1989-07-31,0.320313,2660.659912
1989-08-01,0.316406,2641.120117
1989-08-02,0.304688,2657.439941
1989-08-03,0.347656,2661.610107
1989-08-04,0.34375,2653.449951
1989-08-07,0.34375,2694.989990
1989-08-08,0.355469,2699.169922
1989-08-09,0.375,2686.080078
1989-08-10,0.375,2712.629883
1989-08-11,0.375,2683.989990
1989-08-14,0.363281,2677.919922
1989-08-15,0.359375,2687.780029
1989-08-16,0.355469,2693.290039
1989-08-17,0.359375,2679.629883
1989-08-18,0.359375,2687.969971
1989-08-21,0.351563,2647.000000
1989-08-22,0.351563,2650.989990
1989-08-23,0.355469,2678.110107
1989-08-24,0.382813,2734.639893
1989-08-25,0.386719,2732.360107
1989-08-28,0.390625,2743.360107
1989-08-29,0.378906,2726.629883
1989-08-30,0.351563,2728.149902
1989-08-31,0.363281,2737.270020
1989-09-01,0.375,2752.090088
1989-09-05,0.375,2744.679932
1989-09-06,0.371094,2719.790039
1989-09-07,0.363281,2706.879883
1989-09-08,0.355469,2709.540039
1989-09-11,0.355469,2704.409912
1989-09-12,0.355469,2707.260010
1989-09-13,0.355469,2679.520020
1989-09-14,0.347656,2664.889893
1989-09-15,0.339844,2674.580078
1989-09-18,0.347656,2687.500000
1989-09-19,0.347656,2687.310059
1989-09-20,0.34375,2683.889893
1989-09-21,0.367188,2680.280029
1989-09-22,0.371094,2681.610107
1989-09-25,0.371094,2659.189941
1989-09-26,0.367188,2663.939941
1989-09-27,0.355469,2673.060059
1989-09-28,0.359375,2694.909912
1989-09-29,0.367188,2692.820068
1989-10-02,0.375,2713.719971
1989-10-03,0.386719,2754.560059
1989-10-04,0.382813,2771.090088
1989-10-05,0.371094,2773.560059
1989-10-06,0.394531,2785.520020
1989-10-09,0.390625,2791.409912
1989-10-10,0.386719,2785.330078
1989-10-11,0.375,2773.360107
1989-10-12,0.367188,2759.840088
1989-10-13,0.347656,2569.260010
1989-10-16,0.347656,2657.379883
1989-10-17,0.347656,2638.729980
1989-10-18,0.339844,2643.649902
1989-10-19,0.34375,2683.199951
1989-10-20,0.355469,2689.139893
1989-10-23,0.351563,2662.909912
1989-10-24,0.339844,2659.219971
1989-10-25,0.335938,2653.280029
1989-10-26,0.332031,2613.729980
1989-10-27,0.332031,2596.719971
1989-10-30,0.328125,2603.479980
1989-10-31,0.328125,2645.080078
1989-11-01,0.339844,2645.899902
1989-11-02,0.347656,2631.560059
1989-11-03,0.34375,2629.510010
