Date,PG,DOW
1990-04-30,8.828125,2656.760010
1990-05-01,8.953125,2668.919922
1990-05-02,9.015625,2689.639893
1990-05-03,9.0625,2696.169922
1990-05-04,9.1875,2710.360107
1990-05-07,9.375,2721.620117
1990-05-08,9.265625,2733.560059
1990-05-09,9.21875,2732.879883
1990-05-10,9.203125,2738.510010
1990-05-11,9.421875,2801.580078
1990-05-14,9.46875,2821.530029
1990-05-15,9.515625,2822.449951
1990-05-16,9.453125,2819.679932
1990-05-17,9.578125,2831.709961
1990-05-18,9.5625,2819.909912
1990-05-21,9.703125,2844.679932
1990-05-22,9.890625,2852.229980
1990-05-23,9.890625,2856.260010
1990-05-24,9.875,2855.550049
1990-05-25,9.71875,2820.919922
1990-05-29,10,2870.489990
1990-05-30,10.25,2878.560059
1990-05-31,10.328125,2876.659912
1990-06-01,10.359375,2900.969971
1990-06-04,10.34375,2935.189941
1990-06-05,10.265625,2925.000000
1990-06-06,10.15625,2911.649902
1990-06-07,10.203125,2897.330078
1990-06-08,10,2862.379883
1990-06-11,10.125,2892.570068
1990-06-12,10.53125,2933.419922
1990-06-13,10.4375,2929.949951
1990-06-14,10.40625,2928.219971
1990-06-15,10.546875,2935.889893
1990-06-18,10.3125,2882.179932
